cluster_id,Count,% Pop,recency_days_summary,frequency_summary,monetary_summary,avg_review_score_summary,avg_installments_summary,avg_delivery_days_summary,credit_card_usage_ratio_summary,avg_freight_summary,avg_items_per_order_summary,state_freq_encoding_summary
0,45771,49.0%,235.8 (-1%),1.0 (-3%),79.0 (-52%),4.3 (+2%),1.3 (-55%),11.1 (-8%),0.6 (-17%),15.1 (-34%),1.0 (-12%),0.2 (+11%)
1,36011,38.6%,241.6 (+2%),1.0 (-3%),243.2 (+47%),4.2 (+0%),4.8 (+64%),13.5 (+12%),0.9 (+22%),27.2 (+19%),1.0 (-12%),0.2 (-15%)
2,2801,3.0%,220.3 (-7%),2.1 (+105%),308.6 (+87%),4.2 (+1%),3.3 (+13%),11.9 (-2%),0.8 (-0%),22.9 (+1%),1.2 (+7%),0.2 (+4%)
3,8775,9.4%,239.8 (+1%),1.0 (-3%),249.0 (+51%),3.6 (-13%),3.5 (+19%),11.4 (-6%),0.8 (-0%),45.0 (+98%),2.4 (+112%),0.2 (+2%)
